,City,Latitude,Longitude,Temperature,Feels Like,Humidity,Pressure,Wind Speed,Cloudiness
0,Qaanaaq,77.48,-69.36,8.47,0.09,78,1008,3.96,3.96
1,Ziro,27.63,93.83,50.65,50.41,100,1016,0.87,0.87
2,Ushuaia,-54.8,-68.3,50.0,41.52,81,1013,12.75,12.75
3,Mataura,-46.19,168.86,61.0,59.05,64,1023,3.0,3.0
4,Tuatapere,-46.13,167.68,61.0,59.05,64,1023,3.0,3.0
5,Punta Arenas,-53.15,-70.92,51.4,44.13,50,1012,6.93,6.93
6,Longyearbyen,78.22,15.64,32.0,-1.59,96,995,53.02,53.02
7,Klaksvík,62.23,-6.59,44.6,33.76,81,988,14.99,14.99
8,Hithadhoo,-0.6,73.08,83.07,87.76,72,1011,8.12,8.12
9,Ketchikan,55.34,-131.65,50.72,44.04,93,1000,11.41,11.41
